X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
380;100;0;2;0;4;1;6;1;1;1;0;1100
200;102;0;0;0;2;1;6;1;1;1;0;7
100;112;0;5;0;3;0;7;0;0;1;0;64
15;101;0;5;0;0;0;6;1;1;1;0;15
480;101;0;3;0;4;0;7;0;1;0;1;1100
220;83;0;4;0;2;1;5;0;1;0;0;450
150;89;0;5;0;0;0;6;1;1;1;0;370
220;93;0;0;0;3;0;7;1;1;0;2;640
260;93;0;3;0;4;0;6;1;0;1;0;480
400;95;0;0;0;4;1;6;1;1;1;1;910
400;89;0;1;0;2;1;7;0;0;1;0;580
180;95;0;3;0;1;0;7;1;1;0;0;1000
100;122;0;5;0;4;1;6;1;1;1;5;33
320;105;0;0;0;2;1;7;0;1;1;0;590
400;117;0;0;0;3;0;7;1;1;1;1;460
130;99;0;0;0;2;1;6;1;0;0;0;64
430;118;0;3;0;1;0;7;1;1;1;3;230
300;99;0;1;0;4;0;5;1;1;0;0;620
150;95;0;0;0;4;0;6;1;1;1;1;200
300;109;0;4;0;3;0;7;1;1;0;3;50
300;96;0;0;0;3;0;6;1;0;0;0;610
200;98;0;3;1;3;0;7;1;1;1;0;180
290;99;0;0;0;1;0;5;0;1;0;0;780
150;89;0;4;0;4;1;6;1;1;1;0;19
250;95;0;4;0;4;0;3;1;1;1;1;36
120;87;0;4;0;0;0;6;0;1;0;0;240
60;89;0;5;1;0;0;7;1;0;1;0;220
140;94;0;0;0;4;0;7;0;1;0;0;190
100;93;0;5;1;2;0;5;0;1;0;0;140
100;100;0;2;0;4;1;6;0;1;0;0;84
50;89;0;0;0;3;0;6;1;1;1;0;450
270;89;0;2;0;2;1;6;1;1;1;0;850
300;89;0;4;0;4;1;7;0;1;0;0;640
150;105;0;5;0;3;0;6;1;1;1;0;390
450;107;0;3;0;1;0;4;0;1;0;1;330
150;90;0;1;0;3;0;5;1;0;1;0;320
200;83;0;4;0;1;0;3;0;1;0;0;850
100;97;0;0;0;3;0;5;0;0;0;0;3
270;107;0;0;0;3;0;6;1;1;0;0;520
70;88;0;0;0;1;0;6;1;1;1;10;6
500;95;0;0;0;0;0;7;1;1;1;1;98
150;96;0;0;0;4;1;7;0;1;0;0;9
100;89;0;4;0;1;0;7;1;1;1;0;10
260;93;0;0;0;2;1;7;1;1;0;0;96
200;97;0;3;1;3;1;7;0;1;0;0;700
49;83;0;4;0;3;0;3;0;0;0;0;39
50;92;0;5;0;4;0;5;0;1;1;0;220
